"rown","doc_topic","maxProb"
323,4,0.102580365831566
324,8,0.101425108198701
325,10,0.102738252205721
326,4,0.102411205981534
327,2,0.101189821042784
328,3,0.102560669804756
329,9,0.110026288619742
330,8,0.102953120857399
331,5,0.103660664434138
332,9,0.13402459755273
333,5,0.101322169268827
334,4,0.101455669033984
335,3,0.103285829008418
336,1,0.101814843939605
337,7,0.102809781262652
338,2,0.105904181678885
339,2,0.102502854378358
340,5,0.101195069010878
341,9,0.106818200986483
342,4,0.10196040490258
343,3,0.102440109238408
344,4,0.102753071726228
345,4,0.10266803454274
346,8,0.102173498523035
347,7,0.10265613308712
348,9,0.101368411035558
349,1,0.102278904304662
350,9,0.10211123574064
351,9,0.101931480030258
352,7,0.101771692332956
353,5,0.10168420855521
354,8,0.101272290803323
355,3,0.101448845220543
356,7,0.101954711146315
357,7,0.101692234750488
358,4,0.102106455515204
359,5,0.105496895008931
360,7,0.103498156558914
361,1,0.10265995410718
362,9,0.104836142803197
363,9,0.109608382924377
364,6,0.1060323069087
365,1,0.102205863433378
366,5,0.101375605191046
367,5,0.101208920219885
368,8,0.102377443362718
369,10,0.101727630383068
370,9,0.107625970774279
371,5,0.105537435283169
372,2,0.102110698923961
373,3,0.102404522777837
374,8,0.101965533353231
375,8,0.102893468595612
376,2,0.10216617367234
377,4,0.102185478002001
378,4,0.101932473566267
379,2,0.101227677521379
380,8,0.101645144989203
381,4,0.102185478002001
382,9,0.106285197750769
383,8,0.101294600994948
384,3,0.101688788452284
385,4,0.101711812245108
386,9,0.108308860007513
387,3,0.124195082686346
388,9,0.113307717963949
389,4,0.101797715104052
390,5,0.10235965580533
391,1,0.102770248373408
392,5,0.104032630330197
393,4,0.102214990841999
394,5,0.102069069050222
395,5,0.101814033515016
396,7,0.101970823659218
397,2,0.102795934002837
398,10,0.103210295942702
399,10,0.103313573146075
400,4,0.101780526082009
401,8,0.102490864218914
402,5,0.101731229835858
403,3,0.102204955251621
404,6,0.102303902424427
405,9,0.102917142713555
406,6,0.103431552973781
407,10,0.103268098768446
408,3,0.103923397595901
409,5,0.10207655904043
410,2,0.102695795894483
411,7,0.102368675814895
412,7,0.100775133049734
413,10,0.100775672412323
414,8,0.102375097416945
415,3,0.104131943075516
416,1,0.102025036324238
417,10,0.101439848012527
418,6,0.102091250679152
419,5,0.103462374324218
420,7,0.101752375075635
421,9,0.101956700109214
422,9,0.110541034983591
423,3,0.102694929919964
424,5,0.101812391290411
425,7,0.101140643177346
426,4,0.102928056959454
427,6,0.101560741641237
428,6,0.103607962546358
429,10,0.101034846811681
430,6,0.104285605822142
431,5,0.100826298840763
432,9,0.115052062104388
433,6,0.107421692946683
434,5,0.101868307830715
435,10,0.103149411195954
436,9,0.119975972650686
437,10,0.103544716854448
438,9,0.105005823631578
439,9,0.106870307846953
440,10,0.104141972013166
441,8,0.101736085971461
442,8,0.101047034152668
443,7,0.104039059822889
444,7,0.103690123736635
445,7,0.102529722972808
446,8,0.101987542985583
447,5,0.101859738972974
448,4,0.102594234118821
449,8,0.102067166286048
450,8,0.101836071184645
451,2,0.103266000078243
452,4,0.104127765049752
453,9,0.103605022817035
454,1,0.103606607815325
455,6,0.109308647976536
456,10,0.102685439651175
457,5,0.101588722733719
458,6,0.102043391306849
459,7,0.102418894028052
460,3,0.104486008993712
461,5,0.103328891819106
462,3,0.105839136005075
463,7,0.101102982923434
464,6,0.101501557028516
465,3,0.104242176435375
466,2,0.100639338953856
467,1,0.101368535893163
468,5,0.100533565121657
469,6,0.101156254142327
470,6,0.104329710983893
471,9,0.102633299034824
472,9,0.136992882293991
473,8,0.101307509648828
474,9,0.105732568919899
475,6,0.107198186664126
476,10,0.104088152377257
477,1,0.108692970125089
478,1,0.102211738364049
479,5,0.102095861357634
480,1,0.102748018674703
481,1,0.101653173606535
482,7,0.102657064254982
483,4,0.103634162678144
484,9,0.102844187182987
485,3,0.10416843225919
486,2,0.102160459083045
